set K:= 1 2 3;
set V:= 1 2 3 4 5 6 7 8 9 10 11 12;
set E:= (1,2) (1,3) (1,4) (1,5) (1,6) (1,7) (1,8) (1,9)
		(1,10) (1,11) (1,12) (2,3) (2,4) (2,5) (2,6) (2,7)
		(2,8) (2,9) (2,10) (2,11) (2,12) (3,4) (3,5) (3,6)
		(3,7) (3,8) (3,9) (3,10) (3,11) (3,12) (4,5) (4,6)
		(4,7) (4,8) (4,9) (4,10) (4,11) (4,12) (5,6) (5,7)
		(5,8) (5,9) (5,10) (5,11) (5,12) (6,7) (6,8) (6,9)
		(6,10) (6,11) (6,12) (7,8) (7,9) (7,10) (7,11) (7,12)
		(8,9) (8,10) (8,11) (8,12) (9,10) (9,11) (9,12) (10,11) (10,12) (11,12);
 
param cap:=4;
param males:=3;
param females:=3;

param: gender:=
1	1
2	1
3	1
4	0
5	0
6	1
7	0
8	0
9	1
10	0
11	0
12	1;

param: eweights :=
1	2	26
1	3	54
1	4	65
1	5	72
1	6	97
1	7	21
1	8	92
1	9	86
1	10	5
1	11	14
1	12	57
2	3	48
2	4	90
2	5	12
2	6	93
2	7	47
2	8	16
2	9	82
2	10	50
2	11	49
2	12	37
3	4	21
3	5	74
3	6	26
3	7	99
3	8	99
3	9	96
3	10	86
3	11	65
3	12	17
4	5	78
4	6	7
4	7	31
4	8	29
4	9	39
4	10	80
4	11	86
4	12	8
5	6	9
5	7	32
5	8	65
5	9	38
5	10	2
5	11	85
5	12	44
6	7	63
6	8	83
6	9	34
6	10	99
6	11	63
6	12	1
7	8	14
7	9	87
7	10	15
7	11	23
7	12	97
8	9	34
8	10	42
8	11	76
8	12	38
9	10	92
9	11	23
9	12	88
10	11	94
10	12	94
11	12	88;

param: nweights :=
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1;
